Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"","2025-09-05","pos purchase","Opos Abc*32130 Fw Downtow888-8 ","Debit","-15.74","3625.21"
"","2025-09-04","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.50","3640.95"
"","2025-09-04","pos purchase","Apos Nayax Canada In ","Debit","-2.50","3646.45"
"","2025-09-03","pos purchase","Apos Global Harbor C     Burna ","Debit","-3.92","3648.95"
"","2025-09-03","pos purchase","Apos Tim Hortons #33     Vanco ","Debit","-3.14","3652.87"
"","2025-09-02","pos purchase","Apos Tim Hortons #33     Vanco ","Debit","-3.14","3656.01"
"","2025-09-02","pos purchase","Apos Sq *Rain Or Shi     Vanco ","Debit","-7.72","3659.15"
"","2025-09-02","pos purchase","Apos Big Way Hot Pot     Vanco ","Debit","-20.60","3666.87"
"","2025-09-02","pos purchase","Apos Simon'S No Fril     Vanco ","Debit","-3.98","3687.47"
"","2025-09-02","pos purchase","Apos Bc Liquor #090      Vanco ","Debit","-12.09","3691.45"
"","2025-09-02","pos purchase","Apos Sq *Lee'S Donut     Vanco ","Debit","-8.50","3703.54"
"","2025-09-02","pos purchase","Apos Sq *Kaisereck D     Vanco ","Debit","-10.98","3712.04"
"","2025-09-02","pos purchase","Compass Vending          Burna ","Debit","-149.25","3723.02"
"","2025-09-02","pos purchase","Opos Abc*32130 Fw Downtow888-8 ","Debit","-62.99","3872.27"
"","2025-09-02","pos purchase","Apos Edo Pacific Cen     Vanco ","Debit","-14.65","3935.26"
"","2025-09-02","pos purchase","Apos Sq *Emeri Goods     Vanco ","Debit","-9.13","3949.91"
"","2025-09-02","withdrawal","Free Interac E-Transfer ","Debit","-1200.00","3959.04"
"","2025-09-02","customer transfer cr.","Mb-Transfer ","Credit","1425.00","5159.04"
"","2025-08-30","pos purchase","Apos Dollarama #1010     Burna ","Debit","-8.94","3734.04"
"","2025-08-30","pos purchase","Apos T T Supermarket     Burna ","Debit","-7.35","3742.98"
"","2025-08-30","pos purchase","Apos Real Cdn Supers     Burna ","Debit","-20.33","3750.33"
"","2025-08-30","pos purchase","Apos Sq *Whatafood       New W ","Debit","-13.80","3770.66"
"","2025-08-29","pos purchase","Apos Nayax Canada In ","Debit","-2.50","3784.46"
"","2025-08-29","pos purchase","Apos Mr. Supreme Sha     Richm ","Debit","-10.91","3786.96"
"","2025-08-29","payroll deposit","Snowbank Brands ","Credit","524.33","3797.87"
"","2025-08-28","pos purchase","Apos Save On Foods 2     Burna ","Debit","-5.49","3273.54"
"","2025-08-28","pos purchase","Apos Shoppers Drug M     Vanco ","Debit","-45.24","3279.03"
"","2025-08-28","pos purchase","Apos Subway 13017        Vanco ","Debit","-15.58","3324.27"
"","2025-08-27","pos purchase","Fpos Save On Foods 2276  Burna ","Debit","-6.29","3339.85"
"","2025-08-27","pos purchase","Apos Mr. Supreme Sha     Richm ","Debit","-10.01","3346.14"
"","2025-08-26","pos purchase","Apos Save On Foods 2     Burna ","Debit","-4.49","3356.15"
"","2025-08-26","pos purchase","Apos Tim Hortons #33     Vanco ","Debit","-1.77","3360.64"
"","2025-08-26","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.50","3362.41"
"","2025-08-25","pos purchase","Apos Mr. Supreme Sha     Richm ","Debit","-10.01","3367.91"
"","2025-08-25","pos purchase","Apos Freshslice Pizz     Vanco ","Debit","-4.83","3377.92"
"","2025-08-25","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-7.61","3382.75"
"","2025-08-23","pos purchase","Apos Popeyes #14874      Vanco ","Debit","-14.71","3390.36"
"","2025-08-22","pos purchase","Apos Ramen Butcher       Vanco ","Debit","-22.06","3405.07"
"","2025-08-22","pos purchase","Apos Tim Hortons #28     Vanco ","Debit","-1.77","3427.13"
"","2025-08-22","pos purchase","Opos Abc*32130 Fw Downtow888-8 ","Debit","-15.74","3428.90"
"","2025-08-21","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","3444.64"
"","2025-08-21","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-4.50","3449.89"
"","2025-08-21","pos purchase","Apos Freshslice Pizz     Vanco ","Debit","-2.31","3454.39"
"","2025-08-21","pos purchase","Opos Revenue Services Bc Victo ","Debit","-75.00","3456.70"
"","2025-08-21","customer transfer cr.","Mb-Transfer ","Credit","505.00","3531.70"
"","2025-08-20","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","3026.70"
"","2025-08-19","pos purchase","Apos Edo Pacific Cen     Vanco ","Debit","-3.15","3031.95"
"","2025-08-19","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.75","3035.10"
"","2025-08-18","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-18.72","3040.85"
"","2025-08-18","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","3059.57"
"","2025-08-18","pos purchase","Apos Bcf-Dep Self Se     Nanai ","Debit","-20.50","3064.82"
"","2025-08-18","pos purchase","Apos Trollers Fish A     Nanai ","Debit","-20.22","3085.32"
"","2025-08-18","pos purchase","Apos Javawocky Coffe     Nanai ","Debit","-4.23","3105.54"
"","2025-08-18","pos purchase","Apos Mon Petit Choux     Nanai ","Debit","-11.48","3109.77"
"","2025-08-18","pos purchase","Fpos Bcf-Hsb Self Serve Twest ","Debit","-20.50","3121.25"
"","2025-08-16","pos purchase","Apos Sq *Brazilliant     Vanco ","Debit","-21.00","3141.75"
"","2025-08-15","bill payment","Koodo Mobile ","Debit","-28.00","3162.75"
"","2025-08-15","pos purchase","Apos Kfc 1843            Vanco ","Debit","-6.25","3190.75"
"","2025-08-15","payroll deposit","Snowbank Brands ","Credit","419.49","3197.00"
"","2025-08-14","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-9.96","2777.51"
"","2025-08-14","pos purchase","Opos Aliexpress          Vanco ","Debit","-5.62","2787.47"
"","2025-08-13","pos purchase","Apos Kfc 1843            Vanco ","Debit","-8.40","2793.09"
"","2025-08-13","pos purchase","Apos Shoppers Drug M     Vanco ","Debit","-8.95","2801.49"
"","2025-08-13","correction","Opos Google *Services    Inter ","Credit","1.00","2810.44"
"","2025-08-13","pos purchase","Opos Google *Services    Inter ","Debit","-1.00","2809.44"
"","2025-08-12","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-2.75","2810.44"
"","2025-08-12","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-6.38","2813.19"
"","2025-08-11","pos purchase","Apos Tst-Jerusalem S     Vanco ","Debit","-16.75","2819.57"
"","2025-08-11","pos purchase","Apos Ls Konbiniya Ja     Vanco ","Debit","-4.79","2836.32"
"","2025-08-11","pos purchase","Best Buy #705            Vanco ","Debit","-313.98","2841.11"
"","2025-08-11","customer transfer cr.","Mb-Transfer ","Credit","425.00","3155.09"
"","2025-08-11","pos purchase","Apos Fatburger Granv     Vanco ","Debit","-18.04","2730.09"
"","2025-08-09","pos purchase","Walmart Store #1213      Burna ","Debit","-17.84","2748.13"
"","2025-08-08","pos purchase","Opos Abc*32130 Fw Downtow888-8 ","Debit","-15.74","2765.97"
"","2025-08-07","pos purchase","Apos H-Mart Downtown     Vanco ","Debit","-2.09","2781.71"
"","2025-08-07","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","2783.80"
"","2025-08-06","withdrawal","Free Interac E-Transfer ","Debit","-45.00","2789.05"
"","2025-08-06","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-7.70","2834.05"
"","2025-08-05","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","2841.75"
"","2025-08-04","pos purchase","Apos Real Cdn Supers     Burna ","Debit","-6.99","2847.00"
"","2025-08-04","pos purchase","Apos Walmart Store #     Burna ","Debit","-37.68","2853.99"
"","2025-08-04","withdrawal","Free Interac E-Transfer ","Debit","-7.00","2891.67"
"","2025-08-04","pos purchase","Apos Shoppers Drug M     Vanco ","Debit","-9.40","2898.67"
"","2025-08-02","pos purchase","Apos Dollar Tree # 4     Burna ","Debit","-4.20","2908.07"
"","2025-08-02","pos purchase","Apos Honey Doughnuts     North ","Debit","-8.67","2912.27"
"","2025-08-02","pos purchase","Apos Dip Co. Delight     North ","Debit","-25.07","2920.94"
"","2025-08-02","pos purchase","Apos Dollarama # 818     Vanco ","Debit","-11.45","2946.01"
"","2025-08-01","pos purchase","Apos Kfc 1843            Vanco ","Debit","-6.25","2957.46"
"","2025-08-01","withdrawal","Free Interac E-Transfer ","Debit","-31.00","2963.71"
"","2025-08-01","pos purchase","Compass Vending          Burna ","Debit","-149.25","2994.71"
"","2025-08-01","payroll deposit","Snowbank Brands ","Credit","598.70","3143.96"
"","2025-07-31","withdrawal","Free Interac E-Transfer ","Debit","-1200.00","2545.26"
"","2025-07-31","customer transfer cr.","Mb-Transfer ","Credit","1350.00","3745.26"
"","2025-07-31","pos purchase","Opos Abc*32130 Fw Howe   160-4 ","Debit","-14.25","2395.26"
"","2025-07-31","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","2409.51"
"","2025-07-30","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","2414.76"
"","2025-07-30","pos purchase","Apos Tim Hortons #33     Vanco ","Debit","-1.77","2420.01"
"","2025-07-30","pos purchase","Apos Winners 358         Vanco ","Debit","-22.38","2421.78"
"","2025-07-29","pos purchase","Apos Dollarama #1010     Burna ","Debit","-6.48","2444.16"
"","2025-07-29","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-8.63","2450.64"
"","2025-07-28","pos purchase","Apos Subway 56519        Burna ","Debit","-9.19","2459.27"
"","2025-07-28","pos purchase","Apos Breka Bakery        Vanco ","Debit","-6.95","2468.46"
"","2025-07-28","pos purchase","Apos Mangos Kitchen      Vanco ","Debit","-44.23","2475.41"
"","2025-07-26","customer transfer cr.","Mb-Transfer ","Credit","450.00","2519.64"
"","2025-07-26","pos purchase","Apos Jay Hair Salon      North ","Debit","-30.19","2069.64"
"","2025-07-25","pos purchase","Apos Real Cdn Supers     Vanco ","Debit","-4.37","2099.83"
"","2025-07-25","pos purchase","Apos Kfc 1843            Vanco ","Debit","-6.25","2104.20"
"","2025-07-24","pos purchase","Apos Taco Bell 6802      Vanco ","Debit","-3.03","2110.45"
"","2025-07-24","pos purchase","Apos Kfc 1843            Vanco ","Debit","-8.74","2113.48"
"","2025-07-23","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-3.15","2122.22"
"","2025-07-23","pos purchase","Apos Sansho Sushi        N-Van ","Debit","-30.23","2125.37"
"","2025-07-22","pos purchase","Apos Walmart Store #     Burna ","Debit","-18.97","2155.60"
"","2025-07-21","pos purchase","Apos Global Harbor C     Burna ","Debit","-3.30","2174.57"
"","2025-07-21","pos purchase","Apos Save On Foods 2     Burna ","Debit","-3.87","2177.87"
"","2025-07-21","pos purchase","Apos Fatburger Granv     Vanco ","Debit","-14.69","2181.74"
"","2025-07-21","pos purchase","Apos London Drugs 02     Vanco ","Debit","-35.24","2196.43"
"","2025-07-19","pos purchase","Apos 7-Eleven Store      Vanco ","Debit","-6.83","2231.67"
"","2025-07-19","pos purchase","Apos A W Denman #640     Vanco ","Debit","-9.44","2238.50"
"","2025-07-18","pos purchase","Apos Dollarama # 818     Vanco ","Debit","-1.58","2247.94"
"","2025-07-18","pos purchase","Apos Sq *Rain Or Shi     Vanco ","Debit","-8.42","2249.52"
"","2025-07-18","payroll deposit","Snowbank Brands ","Credit","663.97","2257.94"
"","2025-07-17","pos purchase","Apos Ricardo'S           Vanco ","Debit","-8.75","1593.97"
"","2025-07-17","pos purchase","Apos Nayax Canada In ","Debit","-1.50","1602.72"
"","2025-07-17","pos purchase","Apos Mr. Supreme Sha     Richm ","Debit","-10.38","1604.22"
"","2025-07-16","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-10.49","1614.60"
"","2025-07-15","bill payment","Koodo Mobile ","Debit","-114.24","1625.09"
"","2025-07-15","customer transfer cr.","Mb-Transfer ","Credit","30.00","1739.33"
"","2025-07-14","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","1709.33"
"","2025-07-14","pos purchase","Apos Bbq Chicken And     Vanco ","Debit","-23.60","1714.58"
"","2025-07-12","pos purchase","Apos Third Beach Con     Vanco ","Debit","-4.33","1738.18"
"","2025-07-11","pos purchase","Apos H-Mart Downtown     Vanco ","Debit","-2.61","1742.51"
"","2025-07-11","pos purchase","Apos Kfc 1843            Vanco ","Debit","-6.25","1745.12"
"","2025-07-10","pos purchase","Apos 101 Boba Edmond     Burna ","Debit","-9.18","1751.37"
"","2025-07-10","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","1760.55"
"","2025-07-10","customer transfer cr.","Mb-Transfer ","Credit","423.19","1765.80"
"","2025-07-09","pos purchase","Apos Walmart Store #     Burna ","Debit","-22.53","1342.61"
"","2025-07-09","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","1365.14"
"","2025-07-08","pos purchase","Apos Dollarama #1010     Burna ","Debit","-3.83","1370.39"
"","2025-07-08","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.50","1374.22"
"","2025-07-07","pos purchase","Apos Kfc 1843            Vanco ","Debit","-8.74","1379.72"
"","2025-07-07","pos purchase","Apos The North Face      Richm ","Debit","-22.40","1388.46"
"","2025-07-07","pos purchase","Fpos Under Armour Vancouvrichm ","Debit","-24.64","1410.86"
"","2025-07-07","pos purchase","Apos Sq *Lee'S Donut     Vanco ","Debit","-3.75","1435.50"
"","2025-07-05","pos purchase","Apos Sansho Sushi        N-Van ","Debit","-24.09","1439.25"
"","2025-07-04","pos purchase","Apos Dollarama #1010     Burna ","Debit","-1.40","1463.34"
"","2025-07-04","payroll deposit","Snowbank Brands ","Credit","404.70","1464.74"
"","2025-07-03","pos purchase","Apos Vapes And Conve     Vanco ","Debit","-1.82","1060.04"
"","2025-07-03","pos purchase","Apos Mcdonald'S #862     Vanco ","Debit","-8.39","1061.86"
"","2025-07-02","pos purchase","Apos Horin Ramen + S     Vanco ","Debit","-22.83","1070.25"
"","2025-07-02","pos purchase","Apos Ak Shawarma Don     Burna ","Debit","-2.40","1093.08"
"","2025-07-02","pos purchase","Apos Ak Shawarma Don     Burna ","Debit","-8.44","1095.48"
"","2025-07-02","pos purchase","Apos Freshslice Pizz     Burna ","Debit","-9.29","1103.92"
"","2025-06-30","withdrawal","Free Interac E-Transfer ","Debit","-1200.00","1113.21"
"","2025-06-30","customer transfer cr.","Mb-Transfer ","Credit","1200.00","2313.21"
"","2025-06-28","pos purchase","Apos Daiso Metrotown     Burna ","Debit","-2.81","1113.21"
"","2025-06-28","pos purchase","Apos T T Supermarket     Burna ","Debit","-2.35","1116.02"
"","2025-06-28","pos purchase","Apos Dollarama # 818     Vanco ","Debit","-7.00","1118.37"
"","2025-06-28","pos purchase","Apos Sq *Rain Or Shi     Vanco ","Debit","-8.88","1125.37"
"","2025-06-27","pos purchase","Apos Kfc 1843            Vanco ","Debit","-9.74","1134.25"
"","2025-06-27","pos purchase","Apos Sephora Pacific     Vanco ","Debit","-209.44","1143.99"
"","2025-06-26","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-2.40","1353.43"
"","2025-06-26","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-6.81","1355.83"
"","2025-06-26","customer transfer cr.","Mb-Transfer ","Credit","771.13","1362.64"
"","2025-06-25","pos purchase","Apos N S H Enterpris     Vanco ","Debit","-10.38","591.51"
"","2025-06-24","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.50","601.89"
"","2025-06-24","pos purchase","Apos London Drugs 02     Vanco ","Debit","-10.07","607.39"
"","2025-06-24","pos purchase","Opos Cfs-Safecheck 1     Calga ","Debit","-25.58","617.46"
"","2025-06-23","pos purchase","Apos Save On Foods 2     Burna ","Debit","-3.87","643.04"
"","2025-06-23","customer transfer cr.","Mb-Transfer ","Credit","156.89","646.91"
"","2025-06-23","pos purchase","Apos Kfc 1843            Vanco ","Debit","-8.74","490.02"
"","2025-06-21","pos purchase","Apos Mister Ice Crea     Vanco ","Debit","-10.50","498.76"
"","2025-06-21","pos purchase","Apos Rio Brazilian S     Vanco ","Debit","-45.48","509.26"
"","2025-06-21","pos purchase","Apos Sq *Rain Or Shi     Vanco ","Debit","-8.49","554.74"
"","2025-06-20","pos purchase","Apos Horin Ramen + S     Vanco ","Debit","-18.37","563.23"
"","2025-06-19","pos purchase","Apos Save On Foods 2     Burna ","Debit","-10.90","581.60"
"","2025-06-19","pos purchase","Apos Browns Shoes In     Vanco ","Debit","-224.00","592.50"
"","2025-06-18","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","816.50"
"","2025-06-18","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-5.60","821.75"
"","2025-06-17","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-1.88","827.35"
"","2025-06-17","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.50","829.23"
"","2025-06-16","pos purchase","Apos Save On Foods 2     Burna ","Debit","-9.01","834.73"
"","2025-06-16","pos purchase","Apos Mcdonald'S #123     North ","Debit","-7.05","843.74"
"","2025-06-16","pos purchase","Apos Grouse Mountain     N-Van ","Debit","-4.19","850.79"
"","2025-06-16","pos purchase","Apos Grouse Mountain     N-Van ","Debit","-12.40","854.98"
"","2025-06-16","pos purchase","Apos Starbucks 75829     North ","Debit","-7.30","867.38"
"","2025-06-14","pos purchase","Apos #392 Sport Chek     Burna ","Debit","-11.19","874.68"
"","2025-06-14","pos purchase","Apos Decathlon Metro     Burna ","Debit","-8.96","885.87"
"","2025-06-14","pos purchase","Apos Horin Ramen + S     Vanco ","Debit","-22.83","894.83"
"","2025-06-14","withdrawal","Free Interac E-Transfer ","Debit","-20.00","917.66"
"","2025-06-12","pos purchase","Apos Pizza Hut 31163     Burna ","Debit","-11.54","937.66"
"","2025-06-12","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-3.85","949.20"
"","2025-06-12","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-2.10","953.05"
"","2025-06-12","withdrawal","Free Interac E-Transfer ","Debit","-4.50","955.15"
"","2025-06-12","customer transfer cr.","Mb-Transfer ","Credit","815.00","959.65"
"","2025-06-11","pos purchase","Apos Print Print.Ca      Vanco ","Debit","-8.96","144.65"
"","2025-06-11","customer transfer cr.","Mb-Transfer ","Credit","35.00","153.61"
"","2025-06-10","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-2.75","118.61"
"","2025-06-10","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-6.04","121.36"
"","2025-06-09","pos purchase","Apos Tim Hortons #76     Vanco ","Debit","-5.24","127.40"
"","2025-06-09","correction","Opos Temu.Com            Www.T ","Credit","2.04","132.64"
"","2025-06-09","pos purchase","Opos Temu.Com            Www.T ","Debit","-3.76","130.60"
"","2025-06-09","pos purchase","Opos Temu.Com            Www.T ","Debit","-2.04","134.36"
"","2025-06-09","pos purchase","Apos The Home Depot      Vanco ","Debit","-7.25","136.40"
"","2025-06-09","pos purchase","Apos Real Cdn Supers     Burna ","Debit","-18.29","143.65"
"","2025-06-09","pos purchase","Apos Walmart Store #     Burna ","Debit","-8.97","161.94"
"","2025-06-09","pos purchase","Apos Daiso Metrotown     Burna ","Debit","-2.81","170.91"
"","2025-06-09","pos purchase","Fpos Dollarama #1010     Burna ","Debit","-1.31","173.72"
"","2025-06-09","pos purchase","Apos Daiso Metrotown     Burna ","Debit","-2.81","175.03"
"","2025-06-09","pos purchase","Apos Santa Barbara M     Vanco ","Debit","-2.66","177.84"
"","2025-06-07","pos purchase","Apos Gelato Express      North ","Debit","-10.14","180.50"
"","2025-06-07","pos purchase","Apos Mcdonald'S #149     North ","Debit","-1.88","190.64"
"","2025-06-07","pos purchase","Apos Hellcrust Pizza     North ","Debit","-10.45","192.52"
"","2025-06-06","pos purchase","Apos Urban Fare #761     Vanco ","Debit","-10.32","202.97"
"","2025-06-05","pos purchase","Apos Tim Hortons #76     Vanco ","Debit","-2.80","213.29"
"","2025-06-05","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","216.09"
"","2025-06-04","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-1.35","221.34"
"","2025-06-04","pos purchase","Apos Kfc 1843            Vanco ","Debit","-6.81","222.69"
"","2025-06-03","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-12.94","229.50"
"","2025-06-03","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.50","242.44"
"","2025-06-02","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-7.09","247.94"
"","2025-06-02","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-3.15","255.03"
"","2025-06-02","pos purchase","Apos Tst-Jerusalem S     Vanco ","Debit","-16.75","258.18"
"","2025-06-02","pos purchase","Fpos Tim Hortons #2867   Vanco ","Debit","-1.88","274.93"
"","2025-06-02","pos purchase","Compass Vending          Burna ","Debit","-143.50","276.81"
"","2025-06-02","customer transfer dr.","Mb-Transfer ","Debit","-4200.00","420.31"
"","2025-06-02","pos purchase","Opos Amzn Mktp Ca        Www.A ","Debit","-34.80","4620.31"
"","2025-05-31","pos purchase","Apos Roots  Mcarthur     Richm ","Debit","-31.36","4655.11"
"","2025-05-31","pos purchase","Apos The Coffee Barv     Vanco ","Debit","-6.75","4686.47"
"","2025-05-30","pos purchase","Apos Real Cdn Supers     Burna ","Debit","-32.33","4693.22"
"","2025-05-30","pos purchase","Apos Konbiniya Japan     Vanco ","Debit","-1.04","4725.55"
"","2025-05-30","pos purchase","Apos Ramen Danbo Rob     Vanco ","Debit","-18.35","4726.59"
"","2025-05-30","pos purchase","Apos Best Buy #705       Vanco ","Debit","-41.42","4744.94"
"","2025-05-30","pos purchase","Apos Walmart Store #     Burna ","Debit","-12.04","4786.36"
"","2025-05-30","pos purchase","Apos Daiso Metrotown     Burna ","Debit","-2.81","4798.40"
"","2025-05-30","withdrawal","Free Interac E-Transfer ","Debit","-80.00","4801.21"
"","2025-05-29","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-2.10","4881.21"
"","2025-05-29","pos purchase","Apos A W Cambie #771     Vanco ","Debit","-5.24","4883.31"
"","2025-05-29","pos purchase","Apos Dollarama #1373     Vanco ","Debit","-10.39","4888.55"
"","2025-05-29","pos purchase","Apos G And A Robot ","Debit","-4.00","4898.94"
"","2025-05-28","pos purchase","Apos Kfc 1843            Vanco ","Debit","-8.74","4902.94"
"","2025-05-27","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.00","4911.68"
"","2025-05-27","pos purchase","Apos H-Mart Downtown     Vanco ","Debit","-2.78","4916.68"
"","2025-05-26","pos purchase","Apos Tim Hortons #28     Vanco ","Debit","-3.14","4919.46"
"","2025-05-26","pos purchase","Apos Ann Trading   G     Vanco ","Debit","-1.50","4922.60"
"","2025-05-26","pos purchase","Apos Tst-Jerusalem S     Vanco ","Debit","-15.70","4924.10"
"","2025-05-26","deposit","Free Interac E-Transfer ","Credit","60.00","4939.80"
"","2025-05-26","pos purchase","Fpos Wendy'S Restaurants Vanco ","Debit","-0.53","4879.80"
"","2025-05-26","pos purchase","Fpos Menya Raizo         Vanco ","Debit","-25.97","4880.33"
"","2025-05-26","withdrawal","Free Interac E-Transfer ","Debit","-8.00","4906.30"
"","2025-05-26","pos purchase","Apos Stuart'S            Vanco ","Debit","-4.46","4914.30"
"","2025-05-24","pos purchase","Apos Wendy'S Restaur     Vanco ","Debit","-0.53","4918.76"
"","2025-05-24","pos purchase","Apos Boteco Brasil       Vanco ","Debit","-21.41","4919.29"
"","2025-05-24","pos purchase","Apos Fat Burger          Vanco ","Debit","-14.63","4940.70"
"","2025-05-24","pos purchase","Apos Tim Hortons #28     Vanco ","Debit","-10.16","4955.33"
"","2025-05-23","pos purchase","Apos Kfc 1843            Vanco ","Debit","-6.25","4965.49"
"","2025-05-22","pos purchase","Apos Tim Hortons #76     Vanco ","Debit","-3.14","4971.74"
"","2025-05-22","pos purchase","Apos Kfc 1843            Vanco ","Debit","-8.64","4974.88"
"","2025-05-22","pos purchase","Apos Driver Serv.Cen     Burna ","Debit","-35.00","4983.52"
"","2025-05-22","pos purchase","Apos The Butcher And     Vanco ","Debit","-8.86","5018.52"
"","2025-05-21","pos purchase","Apos Tim Hortons #28     Vanco ","Debit","-3.79","5027.38"
"","2025-05-21","pos purchase","Apos Kfc 1843            Vanco ","Debit","-5.25","5031.17"
"","2025-05-20","pos purchase","Apos Dollarama #1010     Burna ","Debit","-3.44","5036.42"
