description_clean,category,model,ts
pos purchase opos . openai +,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos . name cheap.com +,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos fresh donair vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos thriftique vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos mr. shawarma ro richm,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
deposit,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos popeyes vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos save on foods vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos freshslice pizz vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
deposit free interac e transfer,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos best buy vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
withdrawal free interac e transfer,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos london drugs vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos dollarama vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos walmart store burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos taco bell vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos uniqlo canada p burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos freshslice pizz burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase browns shoes inc burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos amzn mktp ca www.a,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos jollibee vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos the charlatan vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos tommy hilfiger richm,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sp herschel sup vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos cactus club ben vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos dollarama burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos romano's pizza vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos yogen fruz metr burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos kfc vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos the butcher and vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos driver serv.cen burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos fat burger vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos boteco brasil vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos wendy's restaur vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase fpos menya raizo vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase fpos wendy's restaurants vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos real cdn supers burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos konbiniya japan vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ramen danbo rob vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos daiso metrotown burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos the coffee barv vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos roots mcarthur richm,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
customer transfer dr. mb transfer,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase compass vending burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos urban fare vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos gelato express north,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos the home depot vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos santa barbara m vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
correction opos temu.com www.t,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase fpos dollarama burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
customer transfer cr. mb transfer,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos print print.ca vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos pizza hut burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos horin ramen + s vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos decathlon metro burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sport chek burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos save on foods burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos grouse mountain n van,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos browns shoes in vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sq rain or shi vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos rio brazilian s vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos mister ice crea vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sephora pacific vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos t t supermarket burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ak shawarma don burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
payroll deposit snowbank brands,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sq lee's donut vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase fpos under armour vancouvrichm,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos boba edmond burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos third beach con vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos bbq chicken and vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
bill payment koodo mobile,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ricardo's vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos eleven store vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos fatburger granv vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos real cdn supers vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos jay hair salon north,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos mangos kitchen vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos breka bakery vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos subway burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos winners vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos abc fw howe,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos dip co. delight north,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos honey doughnuts north,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos dollar tree burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos shoppers drug m vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos abc fw downtow,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase walmart store burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase best buy vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos google services inter,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
correction opos google services inter,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos aliexpress vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos bcf dep self se nanai,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos trollers fish a nanai,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos mon petit choux nanai,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase fpos bcf hsb self serve twest,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos javawocky coffe nanai,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos edo pacific cen vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos revenue services bc victo,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ramen butcher vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase fpos save on foods burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos subway vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos big way hot pot vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos bc liquor vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos simon's no fril vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos hungry guys kit vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ins market vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos costco wholesal vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos nike metrotown burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
